,name,DM,drift,drift_error,amplitude,xo,yo,sigmax,sigmay,theta,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error
105,8.0,558.2271052631579,-322.9491265093899,0.05853145867216112,245.9978419638678,512.4946591472157,512.4877617526719,173.16627827912427,64.05500302849558,2.012188808415246,0.02841790657698604,0.010852041590010474,0.018359882433955595,0.020013623842370383,0.007398530280165509,7.000507627008394e-05
106,11.0,558.2271052631579,-895.5402158843472,5.274861979180619,11.932842620769552,512.5030617798321,512.59195946428,183.57893568848115,39.38130896820544,1.7395620252990742,0.036609728995136835,0.15198903303691652,0.5553745771082649,0.5653153066047064,0.1207073556276954,0.0009752866966492036
107,12.0,558.2271052631579,-882.8202239077694,0.8325050624572362,82.42627820735879,512.4979018236497,512.4784423095182,28.476611599496167,139.12797639649835,0.17115045220181904,0.04317956760791026,0.019237616567564984,0.07185567879740104,0.014916426151187444,0.07287728578271489,0.00015826258206090698
108,13.0,558.2271052631579,-813.0142745144467,0.1633140258876372,927.3868393150947,512.4989575328352,512.4623037873055,142.3774714005146,40.29439775975515,1.7563197875454724,0.07762514947264146,0.003977478669320795,0.011729200307507563,0.01191770299808989,0.003372693096337878,3.641771613366214e-05
109,14.0,558.2271052631579,-2364.1883531561552,0.771152456980333,328.03136482052776,512.4972317313958,512.1850122749312,161.2757647780794,11.428562220642657,14.201618889658942,0.06828264667212877,0.0032107553437357656,0.033499039864224985,0.03359215631974407,0.0023786291115186577,2.096480542115641e-05
110,15.0,558.2271052631579,-311.09582262083717,0.19302456472809,520.5536597484117,512.4844648160959,512.4915454939992,66.33341001818724,47.195597840247444,2.026803147817838,0.06267113670168087,0.0061962772155481766,0.007594532378118733,0.007986487552110667,0.005682146589178646,0.00024531325663075797
111,16.0,558.2271052631579,-951.4532939407524,0.08583500163968037,2591.051711680247,512.4987537138043,512.488244643739,125.68242302712825,46.327727060874274,1.7298157404988443,0.060582438480448995,0.0011663768095255926,0.0029065588610391315,0.002938574785286493,0.001083202026767642,1.410525241333327e-05
112,1.0,558.8162631578948,-952.8091294520451,0.16162741617725337,1816.4793458843073,512.4992762224178,512.4823451784307,174.3311903196502,46.99342282724178,1.7295932453734988,0.11705842898478873,0.00347676238210557,0.011100971144209838,0.011255241270280741,0.0030269865571725626,2.6486560940166987e-05
113,2.0,558.8162631578948,-695.251926838914,0.5734102250952982,81.52799163504226,512.4939065979901,512.4481478572499,178.11656882061234,44.50184151170959,4.928435000885041,0.037365418627689516,0.026506421921712497,0.07983843971265371,0.081814351774776,0.02038601150457026,0.00017269125098713243
114,3.0,558.8162631578948,-2301.1201889793015,1.7357517049734073,184.13038747536459,512.4960090814449,512.3400515468009,170.62564980507818,19.20111507585819,26.769750886716857,0.056892857187422416,0.006869311644233314,0.05259807489222742,0.05280407305260854,0.0059310116035986935,4.979934554527682e-05
